Beef_Farm_Price,Beef_Wholesale_Price,Beef_Retail_Price,Pork_Farm_Price,Pork_Wholesale_Price,Pork_Retail_Price,Chicken_Retail_Price,Oil_Price
129,152.6,232.9,85.55,104.15,178.8,119.59,22.93
121.6,143.1,228.5,81.62,100.58,178.06,117.2,15.46
120.4,141,226.4,76.9,97.11,175.42,115.46,12.61
116.8,137.8,223.1,76.01,96.38,171.61,116.44,12.84
121,142.8,222.9,89.83,108.04,171.71,116.49,15.38
113.9,138.4,222.7,105.28,117.92,176.16,121.91,13.43
125.5,146.9,223.5,114.88,133.9,194.04,132.92,11.59
128.8,149.3,226.3,119.64,138.63,201.34,144.09,15.1
129.6,149.5,227.1,112.36,133.79,205.68,139.69,14.87
129.5,150.9,227.3,101.75,124.54,206.2,136.19,14.9
134.8,156,229.8,101.01,124.44,203.67,137.66,15.22
129,150.1,230.8,95.52,119.29,202.4,137.37,16.11
126.4,147.5,232.6,88.89,110.78,199.01,130.62,18.65
132.4,151.4,229.6,91.32,109.09,196.36,128.61,17.75
134.1,153.6,229.6,90.24,107.41,191.82,126.44,18.3
144.5,166.1,232.8,97.05,113.93,189.28,124.84,18.68
151.7,176,239.3,104.76,122.97,194.35,123.26,19.44
149.5,173.5,245.2,115.2,130.64,198.48,121.88,20.07
139.9,163.8,244,115.97,132.64,204.83,120,21.34
137.1,157,241.2,113.6,133.48,207.58,123.39,20.31
138.4,159.5,241.3,103.07,125.91,208.32,122.57,19.53
137.9,159.2,241.5,91.35,118.45,205.68,123.02,19.86
136.9,156.8,242.4,76.25,108.36,200.17,119.56,18.85
135.5,155.4,241.1,77.66,111.93,196.36,118.96,17.28
137.5,159.3,238.8,83.66,109.3,196.05,119.26,17.13
144.1,163.3,242.1,88.64,110.67,193.72,117.22,16.8
149.6,169.6,244.3,80.46,108.78,193.93,120.36,16.2
153.4,172.6,245.9,78.94,107.73,193.51,121.23,17.86
159.5,183,248.9,89.28,111.83,194.25,126.36,17.42
149,174.2,255.5,90.22,111.72,198.8,134.73,16.53
138.8,159.2,254.9,85.31,105.1,198.27,146.39,15.5
143.8,165.7,253.4,86.19,106.57,196.26,148.07,15.52
146.6,169.1,255.3,76.41,102.16,195.62,148.16,14.54
149.6,171.1,253.4,73.09,100.69,192.13,144.57,13.77
152.3,171.8,256,68.37,96.9,188.32,141.23,14.14
154.8,174.1,255.6,77.51,102.79,187.69,141.61,16.38
156.6,175.2,259.2,78.28,99.11,191.6,142.44,18.02
158.4,176.3,258.2,76.63,97.43,189.7,140.53,17.94
164.6,180.5,264.7,74.36,96.48,190.12,141.59,19.48
165,182.7,265.3,69.32,93.12,189.91,145.54,21.07
161.8,182.3,266.7,80.3,100.37,187.37,151.4,20.12
153.7,176.3,268.9,86.92,104.68,189.49,158.11,20.05
151.2,174.2,269.7,88.26,105.73,193.4,155.35,19.78
155.7,173.7,268.2,87.65,106.47,195.31,152.18,18.58
146.8,169.6,266.2,82.54,105.73,195.1,146.46,19.59
152.1,169.5,265,88.78,111.51,196.58,144.66,20.1
159.8,177.1,266.4,85.91,112.35,200.6,140.38,19.86
164.9,183.8,269.4,93.28,118.03,202.29,140.28,21.1
167.6,187.1,274.4,89.86,110.14,206.42,139.84,22.86
167.2,186,271,92.02,110.99,207.9,142.62,22.11
169.3,187.7,272.5,97.8,116.56,208.43,148.34,20.39
170.8,190.1,277.9,101.07,120.65,212.55,143.49,18.43
167.2,191.6,283.6,116.81,133.69,218.16,147.91,18.2
163.8,187,282.1,113.78,132.01,230.75,148.45,16.7
160.5,182.4,279.9,116.42,133.79,235.09,149.96,18.45
166.7,187.1,280.6,106.11,126.65,237.94,147.22,27.31
166.7,186.6,280.6,103.3,126.86,233.61,148.55,33.51
171,192.2,282.7,107,130.74,236.15,145.22,36.04
174.7,197.6,291.6,92.9,125.8,235.83,143.38,32.33
174.7,199.4,295.3,90.67,123.49,236.15,141.06,27.28
170.2,192.6,294.9,95.58,115.29,228.63,144.31,25.23
171.1,189.6,292.5,97.5,115.72,228,144.18,20.48
175.5,193.4,295.4,97.07,116.45,226.31,142.78,19.9
175.3,194.1,297.1,95.59,115.29,223.98,142.17,20.83
170,190.9,296.1,102.5,121.39,225.67,144.95,21.23
160.9,186.1,292.4,102.96,121.92,227.05,144.61,20.19
156.2,178.8,288.4,104.34,121.6,230.33,144.89,21.4
145.1,172.2,285.4,95.22,117.19,226.62,146.6,21.69
146.8,170.8,280.1,87.63,112.56,224.19,143.47,21.89
149.8,174.5,277.2,81.43,109.93,219.75,140.71,23.23
152.5,175.1,281,71.09,102.58,217,140.95,22.46
149.2,171.8,279.4,72.8,103.31,212.55,141.52,19.5
155.2,176.6,278.7,69.46,98.37,210.22,143.95,18.79
165.7,184.6,282.5,76.1,104.36,211.39,138.64,19.01
168.5,183.3,285.6,73.19,100.48,209.7,135.65,18.92
168.3,182.6,287.6,77.86,100.06,205.46,138.22,20.23
164.1,183.4,285.8,86.05,106.36,207.79,137.82,20.98
159.4,180.8,287.1,89.29,110.14,208.53,142.28,22.39
156.9,173.6,283.8,84.73,106.99,212.23,144.17,21.78
159,175.8,280.1,84.04,106.89,212.02,144.86,21.34
159.6,175.9,284.1,79.09,104.68,211.18,142.93,21.88
160.1,177.5,285.6,78.81,103.84,209.91,144.04,21.69
159.5,177.1,287.1,77.5,101.84,207.79,143.72,20.34
165.1,184.2,287.3,78.25,103.84,207.69,145.11,19.41
170.2,188.5,288.4,77.55,99.85,207.37,142.66,19.03
172.7,187.8,292.5,83.06,104.05,205.15,141.34,20.09
178.7,191.7,295.5,87.59,107.83,205.15,143.87,20.32
177.2,193.5,299.1,84.48,107.52,202.5,144.15,20.25
175.5,195.3,304.2,87.98,107.83,206.1,145,19.95
165.8,185.2,297.9,90.36,111.09,207.9,143.21,19.09
157.6,175.9,296.7,86.37,108.04,211.81,143.7,17.89
160.1,179.4,290.9,90.28,111.2,210.22,141.36,18.01
156.2,176.3,288.4,90.42,110.88,213.29,142.9,17.5
151,171.6,288.5,88.06,111.93,212.87,145.92,18.15
152.1,174.2,291,80.09,108.99,213.82,144.87,16.61
152.3,170.6,288.2,75.25,107.94,212.76,149.09,14.52
154.4,172.4,286.8,81.78,111.83,212.87,146.17,15.03
155.5,172.7,284.9,89.92,113.61,211.49,146.55,14.78
160.6,176.9,288.3,82.47,110.36,213.08,146.09,14.68
160.8,176.8,287.1,79.38,108.57,210.22,145.76,16.42
145.8,167.6,288.1,79.14,107.41,210.33,146.47,17.89
133.9,158.5,283.3,79.67,104.15,210.54,148.66,19.06
137.2,160.4,280.1,79.22,104.99,212.13,147.68,19.66
140.8,166.6,278.4,78.28,105.63,210.65,144.56,18.38
136.8,162,280,65.68,100.37,208.74,146.53,17.45
136.8,159.2,277.9,59.61,96.27,208.74,142.5,17.72
141.7,163.8,280.2,51.77,91.02,206.31,140.56,18.07
142,164.3,279.4,59.62,93.43,199.33,138.69,17.16
150,171.7,282.6,69.35,95.75,202.5,139.27,18.04
151.3,170.4,284.3,72.83,97.74,200.91,141.58,18.57
146.3,165.7,284.7,70.18,96.06,204.72,145.45,18.54
139.4,158.5,283.7,66.55,94.59,201.65,144.1,19.9
132.9,160.4,282.2,69.74,97.64,202.08,143.72,19.74
134.1,165.6,283.4,80.87,104.26,199.96,142.6,18.45
129.1,158.5,287.4,87.71,106.78,202.5,141.35,17.33
129.6,157.8,284.4,92,111.51,208.74,142.24,18.02
133.4,162.6,283.5,90.17,112.25,209.48,147.52,18.23
134.3,165.5,285.3,84.83,113.4,214.14,145.79,17.43
141.4,167,286.4,73.83,105.94,212.45,150.16,17.99
138.5,162.8,284.1,81.92,109.72,213.93,145.32,19.03
133.4,156.2,281.5,78.77,107.31,212.76,146.72,18.86
131.1,152.2,278.8,87.01,111.09,220.28,149.65,19.09
130,148.4,275.8,91.24,113.82,221.86,144.5,21.33
124.5,147.9,279.3,94.27,116.77,220.7,146.78,23.5
122.8,149,276.6,107.66,126.96,225.99,149.48,21.17
127.9,154.6,276.3,104.5,122.86,235.41,150.92,20.42
131.6,155.6,277.6,110.37,129.06,238.79,150.19,21.3
137.2,159.9,281.1,110.99,133.06,244.82,152.16,21.9
143.7,161.8,280.7,100.95,126.96,247.78,157.79,23.97
146.5,167,281.9,102.56,127.91,246.51,152.65,24.88
151.1,180,285.9,101.99,130.22,245.03,151.28,23.71
138.7,165.3,287.3,102.38,132.64,244.61,153.96,25.23
134.2,155.9,281.7,99.2,125.7,246.2,152.13,25.13
132.9,151.5,278.6,95.6,123.6,244.72,152.5,22.18
140,160.5,276.1,89.65,121.6,242.18,149.02,20.97
140.9,159.8,279,101.89,126.96,239.64,148.52,19.7
140.7,162.5,280.3,107.46,130.95,242.28,151.56,20.82
133.2,156.1,277.6,107.16,129.27,247.25,151.54,19.26
134.7,157.1,279.2,109.62,129.69,246.2,153.08,19.66
138,161.2,281,100.06,129.59,249.69,149.2,19.95
137.8,159.4,283,92.04,123.39,248.31,152.32,19.8
138.2,158.7,279,86.07,116.14,248.52,148.43,21.33
139.5,160.2,278,82.26,113.4,244.72,151.37,20.19
136.5,155.6,280.9,73.01,106.68,239.95,147.91,18.33
135.8,154.2,275.3,67.49,101.11,248.42,153.02,16.72
128,148.5,272,64.15,98.79,248.1,150.23,16.06
129.9,147,273.1,65.6,97.1,240.4,149.93,15.12
136.4,151.6,278.2,66.5,96.2,235.6,151.33,15.35
137.1,157,277.4,80.4,108.9,240.6,151.19,14.91
134.8,154.5,278.7,79.9,108.1,243.1,154.7,13.72
128.6,154,278.5,70.3,101.1,245.1,152.35,14.17
126.1,160.6,279.4,66.9,100.9,245,156.08,13.47
124.6,153.2,274.2,56.4,96.2,244.7,154.43,15.03
130.9,156.4,275,52.1,93.3,242.2,158.44,14.46
131.5,158.1,280,35,84.6,241,157.47,13
125.5,150.4,283.6,29.3,81.1,238.1,155.64,11.35
130.1,156.3,279.1,50.7,95.6,233.4,154.85,12.52
132.8,153.7,278,52.6,91,236.9,153.68,12.01
139.9,160.3,276.9,50.2,89.2,237.1,155.45,14.68
141.1,166.1,283.9,56.4,95,234.8,155.09,17.31
139.6,171.3,283.2,68.5,105.3,239.2,151.18,17.72
142.1,178.1,287.2,63,100.5,241.2,155.08,17.92
138.6,171.5,289.3,58.4,97,244.3,156.18,20.1
140.4,175.8,289,68.6,107.7,246.8,154.62,21.28
140.9,177.3,289.36,63.7,105,248.15,155.88,23.8
148.4,183.1,295.4,63.2,99.5,244.7,155.23,22.69
149.7,180.5,300.01,62.4,97.7,244.67,156.1,25
147.94,181.81,301.75,66.78,103.63,246.09,149.5,26.1
145.99,177.53,294.73,68.03,104.64,245.68,154.29,27.26
146.5,174.46,293.64,74.07,110.09,250.97,150.67,29.37
154.21,183.27,297.88,77.44,112.63,252.81,155.21,29.84
158.94,191,305.4,88.4,118.63,255.5,156.2,25.72
153.24,193.82,308.78,89.45,119.74,256.23,156.68,28.79
149.21,190.75,311.54,91.75,122.15,260.32,155.1,31.82
144.67,179.61,309.99,89.96,123.12,262.29,155.82,29.7
138.46,172.59,309.92,80.82,117.32,265.63,158.25,31.26
136.55,168.59,313.01,77.22,111.86,265,156.82,33.88
143.62,174.38,311.82,76.34,114.31,262.14,156.25,33.11
152.45,182.77,310.28,67.01,108.09,259.28,151.45,34.42
163.47,197.59,310.07,73.48,111.06,262.54,157.15,28.44
167.66,202.48,321.35,68.57,107.92,260.6,157.25,29.59
171.02,201.55,334.21,73.75,107.73,261.54,154.95,29.61
170.02,202.71,334.3,85.98,117.3,265.42,155.96,27.25
164.8,201.69,343.2,87.23,120.52,263.33,156.55,27.49
159.71,204.3,343.82,93.04,125.97,266.95,155.02,28.63
157.7,198.31,347.64,96.96,128.43,270.89,154.81,27.6
150.68,185.93,345.4,95.18,126.2,270.47,158.5,26.43
148.68,188.12,339.33,92.6,129.24,276.33,161.46,27.37
146.88,186.65,337.63,82.74,123.92,278.08,157.49,26.2
142.32,180.41,337.97,73.08,113.49,276.43,161.69,22.17
136.29,174.27,337.63,62.87,105.75,271.26,159.03,19.64
137.78,177.33,330.33,62.39,105.52,271.45,159.85,19.39
145.39,175.24,330.79,71.53,108.45,270.75,159.15,19.72
155.07,188.16,330.46,72.4,108.33,271.72,161.95,20.72
155.6,188.63,329.76,66.65,104.56,270.3,159.37,24.53
145.61,182.81,333.5,58.67,98.18,266.69,161.31,26.18
141.42,180.7,333.54,61.79,99.32,269.88,159.76,27.04
138.6,178.68,329.96,66.29,102.56,266.62,158.93,25.52
135.38,172.42,328.86,71.95,103.95,264.16,160.3,26.97
134.91,173.99,334.5,60.05,96.83,266.6,163.62,28.39
139.25,175.36,329.36,47.69,91.18,261.63,164.52,29.66
139.5,175.17,325.81,56.06,98.14,260.95,163.23,28.84
150.39,182.18,334.04,52.97,96.56,259.13,165.85,26.35
156.55,191.07,337.76,57.13,98.98,260.59,164.2,29.46
168.26,200.35,339.75,60.85,101.94,258.17,159.28,32.95
172.92,200.81,347.95,63.04,101.38,262.61,157.99,35.83
166.44,197.1,356.77,63.89,102.14,261.83,159.92,33.51
170.98,207.23,364.8,64.49,101.86,263.85,162.2,28.17
172.38,219.91,361.38,77.38,109.27,258.46,160.43,28.11
166.8,219.44,365.56,84.99,120.39,264.42,159.22,30.66
163.66,202.85,365.38,79.52,113.1,266.33,162.03,30.76
173.36,217.58,373.47,73.97,112.58,270.64,161.07,31.57
191.16,242.58,370.85,73.62,117,272.6,161.13,28.31
216,271.48,393.31,67.32,108.08,270.46,164.65,30.34
217.23,257.44,431.72,62.65,102.29,272.17,163.23,31.11
196.1,236.96,424.3,62.8,101.82,268.01,164.6,32.13
172.05,212.81,400.52,68.37,107.95,269.29,165.58,34.31
169.36,198.5,398.89,79.43,113.91,269.05,166.57,34.69
185.3,218.24,397.08,84.95,118.81,269.6,166.88,36.74
187.61,244.13,405.67,85.05,121.52,271.33,167.11,36.75
191.98,241.27,405.49,103.29,134.77,276.23,174.27,40.28
193.95,229.55,417.29,102.25,135.97,282.97,173.6,38.03
182.29,216.33,417.9,102.16,135.8,284.74,176.18,40.78
182.13,213.91,411.3,98.31,134.15,288.55,177.36,44.9
178.55,207.47,408.22,96.54,133.68,289.76,178.28,45.94
184.93,212.74,402.06,93.68,131.73,288.73,178.88,53.28
186.92,208.49,405.71,98.18,129.72,281.11,173.34,48.47
190.21,222.85,408.05,93.08,128.78,278.68,175.33,43.15
196.16,231.43,408.46,94.03,130.9,283.38,171.93,46.84
193.65,222.39,412.75,90.14,126.29,283.99,173.39,48.15
198.83,233.63,421.42,90.61,125.98,281.17,172.09,54.19
201.26,243.44,425.51,89.75,125.55,284.91,173.02,52.98
195.33,242.86,426.1,97.37,131.19,289.26,172.26,49.83
182.32,217.46,418.43,87.39,122.11,286.05,174.35,56.35
173.66,204.47,399.31,87.95,123.3,284.03,173.04,59
174.88,207.06,399.15,90.99,127.46,282.1,174.34,64.99
184.22,214.69,392.42,87.99,126.52,282.6,177.52,65.59
191.9,224.27,397.59,83.12,122.45,279.23,175.5,62.26
197.83,230.98,401.86,77.56,120.6,277,178.21,58.32
211.78,244.21,406.03,78.87,117.83,278.61,173.18,59.41
207.15,241.32,406.92,72.83,109.97,276.29,169.52,65.49
196.32,232.41,405.87,76.25,110.18,279.63,154.15,61.63
187.82,226.38,401.11,76.67,115.81,276.29,163.47,62.69
178.93,220.8,402.05,73.2,113.38,279.61,164.42,69.44
173.19,229.34,395.12,86.75,121.39,276.61,151.52,70.84
180.88,237.8,392.14,97.36,132.69,279.92,149.59,70.95
177.08,228.41,387.79,91.64,129.2,284.22,153.38,74.41
184.3,227.23,397.59,93.68,130.86,285,156.65,73.04
196.05,224.9,392.62,87.99,127.61,288.22,153.99,63.8
192.55,224.96,394.68,83.49,124.99,286.62,154.71,58.89
188,222.9,396.3,80.73,120.88,279.51,156.91,59.08
185.28,221.64,392.09,78.71,119.36,276.82,156.48,61.96
187.58,230.94,393.95,77.19,117.23,280.24,154.16,54.51
192.97,231.55,404.97,85.39,124.25,279.73,161.42,59.28
207.96,246.03,418.4,79.48,119.74,282.46,162.14,60.44
210.35,251.89,428.47,84.89,123.71,281.34,165.14,63.98
206.42,246.92,429.75,95.34,130.49,287.35,165.68,63.46
189.48,224.37,421.47,95.53,130.8,290.88,165.27,67.49
190.73,218.07,414.28,90.95,126.87,293.64,170.14,74.12
196.15,222.87,415.9,90.18,127.18,293.13,167.35,72.36
201.09,226.57,422.7,80.61,120.69,290.61,166.63,79.92
196.27,222.02,412.97,72.46,114.55,292.93,165.18,85.8
198.17,223.62,415.89,63.71,111.1,286.34,168.94,94.77
196.91,228.12,411.3,68.05,110.62,285.94,169.29,91.69
194.6,224.76,410.03,63.36,109.22,285.56,169.42,92.97
192.22,228.85,418.62,73.44,112.74,282.53,172.76,95.39
186.4,220.7,420.5,67.29,110.03,283.31,173.17,105.45
187.15,225.93,417.19,77.41,119.4,285.85,173.24,112.58
198.9,239.35,424.15,99.96,135.49,290.34,174.12,125.4
201.13,243.09,429.56,94.31,134.79,293.25,176.29,133.88
207.1,255.21,434,96.87,139.89,296.17,175.51,133.37
207.96,248.31,452.57,107.78,148.54,301.7,174.14,116.67
207.16,244.35,450.87,90.74,134.37,302.61,175.64,104.11
194.14,228.52,451.12,81.16,125.33,301.7,174.01,76.61
198.04,237.54,443.29,67.61,112.68,300.26,179.31,57.31
188.51,224.1,439.12,69.73,114.38,300.52,178.11,41.12
183.23,228.43,432.01,72.02,112.76,299.64,183.66,41.71
179.11,210.97,435.8,73.97,111.03,296.12,180.16,39.09
181.8,209.4,429.6,74.07,111.23,294.24,171.55,47.94
191.98,223.15,426.88,74.4,112.08,291.39,181.69,49.65
186.14,225.16,432.36,74.87,112.33,295.41,185.68,59.03
177.48,215.86,427.25,72.99,109.04,295.39,182.55,69.64
179.57,215.43,416.86,74.18,111.4,295.73,174.88,64.15
176.27,218.52,421.99,63.17,106.78,293.37,176.92,71.05
179.84,216.9,413.98,64.78,106.14,290.6,176.05,69.41
182.17,212.09,414.54,65.27,107.98,288.01,173.46,75.72
180.14,216.94,430.42,69.26,111.05,281.78,174.32,77.99
174.01,213.43,428.09,79.46,122.45,282,174.68,74.47
181.18,220.43,417.27,86.42,129.02,287.77,173.08,78.33
191.07,220.96,418.55,84.86,125.14,291.71,173.03,76.39
202.63,239.45,430.37,90.86,130.86,291.43,167.8,81.2
211.28,257.06,443.6,99.95,145.31,291.87,165.28,84.29
211.17,259.16,445.65,109.93,148.58,304.3,175.45,73.74
208.06,240.49,447.17,101.46,143.47,310.37,176.65,75.34
197.57,237.69,441.49,101.5,141.74,318.52,178.51,76.32
204.93,240.87,435.26,107.37,150.15,323.16,174.66,76.6
206.54,244.69,441.76,105.24,149.35,329.95,178.57,75.24
207.38,239.46,447.76,90.66,145.4,336.26,180.03,81.89
209.22,243.91,448.84,81.48,142.54,331.97,181.76,84.25
216.56,248.52,443.05,88.31,142.35,318.84,178.53,89.15
221.93,256.94,452.13,95.97,145.59,324.13,175.77,89.17
226.94,259.1,458.29,106.53,153.96,328.32,177.57,88.58
242.58,277.99,472.46,108.14,156.08,335.74,178.51,102.86
251.43,285.99,479.44,117.89,158.83,337.66,174.41,109.53
229.92,270.61,483.71,118.28,159.14,348.41,170.07,100.9
222.69,267.42,478.02,120.52,158.09,348.11,175.52,96.26
230.85,270.86,476.66,123.33,165.57,346.59,174.04,97.3
237.62,275.55,486.79,131.09,173.03,351.17,178.73,86.33
245.83,278.16,490.77,112.33,165.08,356.15,176.7,85.52
259.18,282.4,492.79,117.13,163.52,346.82,180.72,86.32
263.41,293.87,498.81,109.12,155.31,351.07,179.33,97.16
257.63,290.78,498.85,106.93,152.48,346.07,179.32,98.56
261.34,284.67,505.5,107.04,146.91,349.5,185.47,100.27
266.17,290.09,500.81,109.93,148.42,349.46,182.67,102.2
267.14,290.08,501.39,105.94,144.52,348.99,190.42,106.16
254.48,279.27,494.23,101.08,140.57,345.95,188.66,103.32
255.01,292.97,492.16,100.1,143.86,340.8,186.9,94.66
253.56,300.38,489.39,116.85,155.83,339.68,191.02,82.3
243.43,282.25,497.78,120.37,153.82,343.44,192.09,87.9
253.28,284.53,491.44,109.23,150.73,352.64,190.62,94.13
263.87,292.43,491.29,87.13,141.26,350.73,185.55,94.51
267.01,296.32,500.35,101.27,148.15,348.42,186.97,89.49
268.96,297.09,510.91,98.4,145.32,347.83,193.48,86.53
267.05,296.93,507.77,101.32,145.85,342.66,197.15,87.86
263.84,291.98,520.58,105.14,146.85,345.11,193.96,94.76
262.79,280.41,517.91,106.2,148.8,349.08,194.79,95.31
266.47,295.44,526.35,93.31,139.53,351.71,190,92.94
267.51,291.37,522.39,99.18,141.24,350.69,191.24,92.02
270.47,313.68,522.61,113.85,153.01,355.26,194.71,94.51
264.75,304.81,527.44,125.35,167.41,361.66,199.19,95.77
248.02,290.35,533.09,125.38,172.53,369.57,197.59,104.67
252.6,294.22,535.07,121.8,170.68,375.74,200.21,106.57
264.19,296.13,529.42,115.82,168.18,379.22,200.55,106.29
274.43,309.76,535.46,111.87,165.02,380.93,203.1,100.54
277.47,308.59,540.86,103.21,161.2,377.61,195.57,93.86
278.24,304.98,536.04,99.73,156.65,376.13,196.71,97.63
297.13,337.81,534.57,100.65,153.88,375.76,193.84,94.62
310.4,327.67,557.54,110.8,166.46,372.68,195.29,100.82
320.16,364.06,572.02,145.67,199.19,383.04,194.73,100.8
311.64,348.17,587.13,154.39,202.53,395,192.91,102.07
304.85,348.3,591.32,141.07,191.99,409.92,194.61,102.18
319,360.34,591.69,148.09,207.29,411.56,194.86,105.79
338.89,385.11,595.14,166.47,223.07,412.69,195.59,103.59
336.49,388.15,623.96,139.48,194.88,419.98,197.04,96.54
345.06,375.57,625.62,128.73,189.44,421.55,197.12,93.21
353,377.3,624.06,130.7,194.59,414.85,198.99,84.4
367.02,386.36,630.31,109.89,169.48,406.39,200.8,75.79
350.26,377.54,630.98,105.52,159.01,399.11,199.43,59.29
355.68,388.75,633.3,93.43,149.24,398.94,197.84,47.22
345.81,368.93,626.99,79.11,139.88,394.12,197.8,50.58
352.32,378.42,630.88,79,132.96,387.43,198.73,47.82
352.79,393.6,640.16,78.24,133.33,376.93,199.73,54.45
351.95,397.62,641.19,99.66,152.99,369.59,193.18,59.27
331.06,382.44,640.64,99.63,150.55,370.33,198.69,59.82
326.84,365.62,636.49,97.75,144.75,376.95,196.33,50.9
327.86,369.83,632.81,97.98,151.8,383.41,196.03,42.87
297.15,348.79,623.02,90.65,151.62,391.92,195,45.48
292.2,325.85,623.08,92.07,156.56,397.26,196.54,46.22
281.73,324.03,621.28,72.94,145.88,391.72,196.99,42.44
273.04,309.46,597.16,68.27,139,384.58,193.15,37.19